"Representative","Office Running For","Total Raised"
" Linda McMahon (R)","Connecticut Senate","$50285122"
" Sharron Angle (R)","Nevada Senate","$28276674"
" Jeff Greene (D)","Florida Senate","$23777064"
" Marco Rubio (R)","Florida Senate","$21741330"
" Carly Fiorina (R)","California Senate","$21408417"
" Harry Reid (D)*","Nevada Senate","$19378713"
" John McCain (R)*","Arizona Senate","$18414247"
" Scott Brown (R)*","Massachusetts Senate","$18272033"
" Charles E Schumer (D)*","New York Senate","$17764831"
" Pat Toomey (R)","Pennsylvania Senate","$17141810"
