"Representative","Office Running For","Total Raised"
" Jon Ossoff (D)","Georgia Senate","$138257050"
" Jaime Harrison (D)","South Carolina Senate","$130608856"
" Raphael Warnock (D)","Georgia Senate","$124278473"
" Lindsey Graham (R)*","South Carolina Senate","$103133119"
" Mark Kelly (D)*","Arizona Senate","$99042619"
" Amy McGrath (D)","Kentucky Senate","$94133955"
" Kelly Loeffler (R)*","Georgia Senate","$92135745"
" David Perdue (R)*","Georgia Senate","$85899409"
" Sara Gideon (D)","Maine Senate","$74495369"
" Martha McSally (R)*","Arizona Senate","$71483697"
